tconst,primaryTitle,title_fr,decade,release_date,production_country,genres,popularity,averageRating,class_vote,numVotes,runtimeMinutes,budget,revenue,overview,poster_url,backdrop_url,genres_stripped,1950s,1960s,1970s,1980s,1990s,FR,US,high votes,low votes,medium votes,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,Film-Noir,History,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0046676,About Mrs. Leslie,Romance sans lendemain,1950s,03/08/1954,US,"['Drama', 'Romance']",1.317,7.1,low votes,664,104,0,0,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zU421urNVPbC5K0tVAmr2oCL0C5.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/77byZA4g4Vbauo7gOkWNZItzdje.jpg,"Drama,Romance",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0047377,Pushover,Du plomb pour l'inspecteur,1950s,21/07/1954,US,"['Crime', 'Drama', 'Film-Noir']",4.409,7.1,high votes,3491,88,0,0,"Soupçonnant McAllister et ses hommes d'avoir braqué une banque de la région, le lieutenant Carl Eckstrom décide de surveiller l'appartement de Lona McLane, la maîtresse du gangster. Désigné pour cette mission, Paul Sheridan ne tarde pas à tomber sous la charme de la belle Lona...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/zUTVCRsENKiOpEZQhc4eVu4TZjK.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gSnttdqZNHuMbc73uQdTAhxjMjX.jpg,"Crime,Drama,Film-Noir",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
tt0047573,Them!,Des monstres attaquent la ville,1950s,16/06/1954,US,"['Horror', 'Sci-Fi']",12.405,7.2,high votes,22873,94,23000000,0,"Après une explosion atomique, des fourmis géantes apparaissent dans le désert du Nouveau-Mexique.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/xnBN8xgPHtliU0Zd5XLCVEmsbpw.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bW83NQMHtgFIkDSoZBer4eEnc9V.jpg,"Horror,Sci-Fi",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
tt0047849,Bad Day at Black Rock,Un homme est passé,1950s,13/01/1955,US,"['Crime', 'Drama', 'Mystery']",7.799,7.7,high votes,22912,81,1271000,3788000,"Pour la première fois depuis quatre ans, un train s'arrête à Black Rock, bourgade perdue en plein désert. Le visiteur, John J. Macreedy (qui est amputé d'un bras entier), interroge les quelques habitants qu'il rencontre sur le moyen de se rendre en un lieu-dit alentour : Adobe Flat, et ce sans préciser clairement ses motivations. Bizarrement, l'évocation de ce lieu associée à cette visite totalement inattendue génèrent une forte agressivité de la population locale. Plus Macreedy essaye de comprendre et pose de questions, plus la population se montre menaçante.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/2QLzWmyBJ4NfLlQUhu7P9YE2uhr.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tQv32m6pufbJT2rKuKDzt0kVynQ.jpg,"Crime,Drama,Mystery",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
tt0047885,Blackboard Jungle,Graine de violence,1950s,25/03/1955,US,"['Crime', 'Drama']",10.084,7.4,high votes,9444,101,0,0,"Richard Dadier, un jeune professeur d'anglais, obtient un poste dans une école d'un quartier défavorisé de New York. Il doit, à sa grande surprise, affronter une classe très dure, qui se désintéresse totalement de son enseignement. Ni la patience, ni l'autorité, qu'il est bientôt obligé d'exercer avec ses poings, ne viennent à bout de la fureur de ces adolescents d'origines et de milieux très différents. Un jour, Dadier se porte au secours d'une de ses collègues, la belle Lois Hammond, victime d'une tentative de viol. A la suite de cet incident, Anne, l'épouse du professeur, ne tarde pas à recevoir des lettres anonymes accusant Dadier d'avoir une liaison avec Lois…",https://image.tmdb.org/t/p/w600_and_h900_bestv2/b7fJALSoTCSTmrjVTh0SF6Yi6pa.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/75QBPYzOgSZWiYXRWoshRuO201z.jpg,"Crime,Drama",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0047892,Bob le Flambeur,Bob le flambeur,1950s,24/08/1956,FR,"['Crime', 'Drama', 'Thriller']",8.519,7.6,high votes,12748,98,0,41010,"Il y a longtemps que Bob s'est retiré des « affaires ». Il se consacre maintenant à son unique passion, le jeu. Il a aussi un grand cœur et héberge Anne, une jeune fille fauchée prête à sombrer dans la prostitution. Anne tombe amoureuse de Paulo, un des fans de Bob. Après de grosses pertes au jeu, Bob décide de monter un coup pour se refaire…",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gFIyJ4yWjX9G7fxCD1LvOzyeXxI.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dCrnWaEegDW8AycG0HVu8WuPLFf.jpg,"Crime,Drama,Thriller",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
tt0047982,People of No Importance,Des gens sans importance,1950s,15/02/1956,FR,['Drama'],2.566,7.1,low votes,589,101,0,0,"A force de se croiser au relais Barchandeau, Jean Viard, routier sur Paris-Bordeaux, et Clothilde Brachet, serveuse, tombent peu à peu amoureux l'un de l'autre. Il se satisfont d'abord de vivre leur passion par intermittence. Mais le jour où Jean, exécédé, cogne un contrôleur routier tatillon, et que parallèlement Clothilde attend un enfant, leur relation vire au tragique...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gUDJHSMbPIBpHJuWi41Ij3pq6Pm.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kOwICVyyWdoPaQDNYjbjltfZh7P.jpg,Drama,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0048028,East of Eden,À l'est d'Eden,1950s,10/04/1955,US,['Drama'],15.542,7.8,high votes,46753,118,0,0,"1914. Adam Trask exploite ses terres à Salinas Valley, aidé par ses deux fils, Cal et Aaron. Tous deux croient que leur mère est morte. Cal est persuadé que son père ne l'aime pas. Un jour, il apprend que sa mère n'est pas morte mais qu'elle tient une maison close. Dès lors, ses rapports avec son père vont se dégrader de plus en plus.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/h6GqJiBbrqVzbp0DUYar2xJZYST.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/u7i1XtbOubq0xwRy2Zbgmox6g9W.jpg,Drama,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0048130,"Good Morning, Miss Dove",Bonjour Miss Dove,1950s,23/11/1955,US,['Drama'],1.836,7.0,medium votes,1025,107,1470000,0,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eT2Q5mTH0xXa0bHI1h0EqFpq9Pc.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oYorUXxwMTC7VSP0V9b2XvPrwyu.jpg,Drama,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0048199,Illegal,Le témoin à abattre,1950s,09/10/1955,US,"['Crime', 'Drama', 'Film-Noir']",4.515,7.0,medium votes,2140,88,0,0,"Le Procureur Victor Scott a jadis fait condamner un innocent. Depuis, il est devenu avocat et noie ses remords dans l'alcool. Il se met au service d'un gangster et paiera de sa vie pour le faire condamner, sauvant du même coup une innocente.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/z79LbDYC0JOufqtAueieYKAAw39.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xl7alqShJuYsIpDz8JYLuvcR2FZ.jpg,"Crime,Drama,Film-Noir",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
