nconst,primaryName,birthYear,category,popularity,actor_image,knownForTitles,tconst_in_db
nm0201626,James Darren,1936,actor,5.255,https://image.tmdb.org/t/p/w200//finbHXyPodyPEb1j2ETRFpAl8ee.jpg,"tt0052847,tt0054953,tt0083486,tt0252501",['tt0051690']
nm0201669,Jean-Pierre Darroussin,1953,actor,4.502,https://image.tmdb.org/t/p/w200//sNsfWAtIiorU1bvjFypdaWbFmN7.jpg,"tt0118015,tt1508675,tt0474312,tt0319130","['tt0109702', 'tt0118015']"
nm0202966,Keith David,1956,actor,23.241,https://image.tmdb.org/t/p/w200//jJLJuR7FNHYL1fB5igjj7IXzOel.jpg,"tt0084787,tt0120591,tt0096256,tt0780521","['tt0091763', 'tt0096256']"
nm0204706,Hope Davis,1964,actress,34.687,https://image.tmdb.org/t/p/w200//dJb76YQDFmfJ6ptlvBvx0ZBP44C.jpg,"tt3498820,tt0305206,tt0257360,tt0383028",['tt0137363']
nm0205373,Rochelle Davis,1980,actress,8.429,https://image.tmdb.org/t/p/w200//89FluwJCKBVj6JmvB9VI4DodSTy.jpg,"tt0109506,tt22199976,tt13441182,tt4940000",['tt0109506']
nm0205793,Ninetto Davoli,1948,actor,7.358,https://image.tmdb.org/t/p/w200//bOs054IC9yaP2DDKdXdH2OEznES.jpg,"tt0143945,tt0065622,tt0076051,tt0928177",['tt0065622']
nm0207732,Grace de Capitani,1957,actress,2.768,https://image.tmdb.org/t/p/w200//dnJ0aQfSdMNcZpKcHC2COQnyUDO.jpg,"tt0100496,tt0194512,tt3805856,tt0088002",['tt0088002']
nm0212541,Dipankar Dey,1944,actor,1.105,https://image.tmdb.org/t/p/w200//oBnPbSpD8TTEWHlCElrXJ9V1DdT.jpg,"tt0087886,tt5304172,tt2266600,tt4265964",['tt0101279']
nm0217677,Nathalie Delon,1941,actress,9.954,https://image.tmdb.org/t/p/w200//oEdNxKieZufHnH8VmPIzm6QaRNC.jpg,"tt0240088,tt0062229,tt0095174,tt8847712",['tt0062229']
nm0218464,Irina Demick,1936,actress,3.878,https://image.tmdb.org/t/p/w200//uSL3V60C5oAmCaTTvRcgPLY9iWx.jpg,"tt0141673,tt0056197,tt0065792,tt0066554",['tt0064169']
nm0218810,Jeffrey DeMunn,1947,actor,11.025,https://image.tmdb.org/t/p/w200//eSouAAduXaziFpqLw59AG55jtGY.jpg,"tt0120689,tt0884328,tt0094761,tt0091209",['tt0091209']
nm0218843,Mathieu Demy,1972,actor,2.799,https://image.tmdb.org/t/p/w200//bnaoxj7P2LzpEzqy1RPFlQUuPCK.jpg,"tt1847731,tt4063800,tt0123923,tt5540990",['tt0093371']
nm0219099,Marianne Denicourt,1966,actress,2.82,https://image.tmdb.org/t/p/w200//sNY4ToUEb5WniA3JJdUKuvTuDEg.jpg,"tt3433632,tt0113273,tt2891070,tt0101429",['tt0101428']
nm0219151,Jacques Denis,1943,actor,1.22,https://image.tmdb.org/t/p/w200//5SkMqd4bHBzvLEDqFk22iXSchzk.jpg,"tt0067701,tt0075946,tt0348906,tt0262846",['tt0071622']
nm0219990,Kassie Wesley DePaiva,1961,actress,2.336,https://image.tmdb.org/t/p/w200//7MhZiKHkLuGQuX4j96nVsNh0Icp.jpg,"tt0058796,tt0056758,tt0062595,tt0092991",['tt0092991']
nm0220015,Elisabeth Depardieu,1941,actress,1.476,https://image.tmdb.org/t/p/w200//eFwpmx5OKAU9Olqrl1OsIiP37IG.jpg,"tt0088229,tt0170511,tt0091288,tt0091480",['tt0091288']
nm0220016,Guillaume Depardieu,1971,actor,4.419,https://image.tmdb.org/t/p/w200//c1b0rTEPdtdYfSAfwcZWMpzzMw5.jpg,"tt0152015,tt0103110,tt0781435,tt0112386","['tt0103110', 'tt0112386']"
nm0220183,Émilie Dequenne,1981,actress,2.634,https://image.tmdb.org/t/p/w200//aNGdK8n9GCzgHbxcucqdgmKM8lR.jpg,"tt0200071,tt3489470,tt1660302,tt0237534",['tt0200071']
nm0220976,Alex Descas,1958,actor,2.248,https://image.tmdb.org/t/p/w200//1FUMJTbVflnDR8vZL3J1Hv8f7tV.jpg,"tt0100536,tt0204700,tt0379217,tt1135092",['tt0118823']
nm0223033,Patrick Dewaere,1947,actor,7.411,https://image.tmdb.org/t/p/w200//iQ1Khy341bDFWUNmmVFpytwpk2w.jpg,"tt0081678,tt0082054,tt0076242,tt0072353","['tt0072353', 'tt0074888', 'tt0076242', 'tt0078122', 'tt0079002', 'tt0079980', 'tt0081678', 'tt0082749']"
